Approved symbol,Approved name,Accession numbers,UniProt ID,ENTREZ ID,Ensembl ID
ACVR2B,activin A receptor type 2B,X77533,Q13705,93,ENSG00000114739
RP11-21J18.1,,,,,
RP11-616K22.1,,,,,
SPCC18.17c,,,,,
MFSD7,,,,,
KRTAP9-10P,"keratin associated protein 9-10, pseudogene",,,,ENSG00000237183
IDH3A,isocitrate dehydrogenase 3 (NAD(+)) alpha,,P50213,3419,ENSG00000166411
SBH1,,,,,
YFH7,,,,,
snoU13.110,,,,,
MED20,mediator complex subunit 20,AF097725,Q9H944,9477,ENSG00000124641
SNORD66.1,,,,,
RP11-399E6.1,,,,,
RP11-650K20.2,,,,,
ght4,,,,,
AP003385.1,,,,,
LINC01106,long intergenic non-protein coding RNA 1106,,,151009,ENSG00000175772
GS1-278J22.1,,,,,
TMEM108,transmembrane protein 108,AL136578,Q6UXF1,66000,ENSG00000144868
TRC-GCA7-1,tRNA-Cys (GCA) 7-1,HG983694,,103456508,
CTA-929C8.5,,,,,
TRV-TAC1-1,transfer RNA-Val (TAC) 1-1,HG984131,,100188993,
XS,X-linked suppressor of LU antigens,,,7523,
CTD-2541M15.4,,,,,
RPS16P5,ribosomal protein S16 pseudogene 5,,,647190,ENSG00000217527
MIR331,microRNA 331,,,442903,ENSG00000199172
PKMP2,pyruvate kinase M1/2 pseudogene 2,,,402408,ENSG00000235892
RNU6-769P,"RNA, U6 small nuclear 769, pseudogene",,,106479906,ENSG00000207136
FBXO3-DT,FBXO3 divergent transcript,,,101928440,ENSG00000254508
CYMP,chymosin pseudogene,,,643160,ENSG00000240194
Mbtd1,,,,,
abgR,,,,,
SNORA31.12,,,,,
SMARCE1P6,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 pseudogene 6",,,646196,ENSG00000214465
C8orf74,chromosome 8 open reading frame 74,BC038534,Q6P047,203076,ENSG00000171060
RP1-68D18.2,,,,,
ITIH3,inter-alpha-trypsin inhibitor heavy chain 3,,Q06033,3699,ENSG00000162267
OR2B3,olfactory receptor family 2 subfamily B member 3,,O76000,442184,ENSG00000204703
RNA5SP65,"RNA, 5S ribosomal pseudogene 65",,,100873300,ENSG00000200036
RPL7AP21,ribosomal protein L7a pseudogene 21,,,100271038,
STEAP1B,STEAP family member 1B,,Q6NZ63,256227,ENSG00000105889
cdk11,,,,,
Psmd11,,,,,
PAQR6,progestin and adipoQ receptor family member 6,AF455045,Q6TCH4,79957,ENSG00000160781
NPL4,,,,,
pdc1,,,,,
SEC14,,,,,
OR4A40P,olfactory receptor family 4 subfamily A member 40 pseudogene,,,390116,ENSG00000254832
MIR4722,microRNA 4722,,,100616167,
KB-173C10.2,,,,,
RP11-27M24.2,,,,,
OR13J1,olfactory receptor family 13 subfamily J member 1,,Q8NGT2,392309,ENSG00000168828
LOC100190986,,,,,
rfaE,,,,,
MIR1202,microRNA 1202,,,100302259,ENSG00000221456
SNORA30B,"small nucleolar RNA, H/ACA box 30B",,,109616992,
RP11-576N17.5,,,,,
xylA,,,,,
B4GALNT3,"beta-1,4-N-acetyl-galactosaminyltransferase 3",AB089940,Q6L9W6,283358,ENSG00000139044
RPS6P14,ribosomal protein S6 pseudogene 14,,,100131396,ENSG00000225482
GPRC6A,G protein-coupled receptor class C group 6 member A,AF502962,Q5T6X5,222545,ENSG00000173612
USP17L23,ubiquitin specific peptidase 17 like family member 23,,D6RBM5,,ENSG00000250913
VAMP2,vesicle associated membrane protein 2,,P63027,6844,ENSG00000220205
SPSB4,splA/ryanodine receptor domain and SOCS box containing 4,,Q96A44,92369,ENSG00000175093
CTD-2363C16.1,,,,,
mug62,,,,,
CCDC188,coiled-coil domain containing 188,,H7C350,388849,ENSG00000234409
RP11-796E10.1,,,,,
BBIP1P1,BBSome interacting protein 1 pseudogene 1,,,105373509,ENSG00000271532
RP11-19O2.1,,,,,
RPS4XP1,ribosomal protein S4X pseudogene 1,AC126474,,400064,ENSG00000214203
ELOBP3,elongin B pseudogene 3,,,100856810,ENSG00000232285
YJR120W,,,,,
snoU13.397,,,,,
TAS2R13,taste 2 receptor member 13,AF227137,Q9NYV9,50838,ENSG00000212128
MIR4522,microRNA 4522,,,100616277,
AC023481.1,,,,,
PBI2,,,,,
HXT6,,,,,
RP11-16E23.3,,,,,
RP11-219G17.6,,,,,
RP11-757H14.2,,,,,
yddB,,,,,
WARS2P1,tryptophanyl tRNA synthetase 2 pseudogene 1,,,100421633,ENSG00000227209
SNN,stannin,AF030196,O75324,8303,ENSG00000184602
RPL10AP2,ribosomal protein L10a pseudogene 2,,,253986,ENSG00000188873
RN7SL283P,"RNA, 7SL, cytoplasmic 283, pseudogene",,,106479325,ENSG00000240977
RP11-397H6.1,,,,,
snoU13.384,,,,,
MND1,meiotic nuclear divisions 1,AY028916,Q9BWT6,84057,ENSG00000121211
C1orf64,,,,,
RP11-863P13.6,,,,,
yeaH,,,,,
narG,,,,,
RP11-340A13.3,,,,,
ZNF730,zinc finger protein 730,AK131472,Q6ZMV8,100129543,ENSG00000183850
MTND5P15,MT-ND5 pseudogene 15,,,100873259,ENSG00000231888
RP11-395N3.1,,,,,
RN7SL434P,"RNA, 7SL, cytoplasmic 434, pseudogene",,,106480509,ENSG00000241868
RP11-149B9.2,,,,,
SNORD73A,"small nucleolar RNA, C/D box 73A",Z83330,,8944,ENSG00000208797
YDR161W,,,,,
OR2S1P,olfactory receptor family 2 subfamily S member 1 pseudogene,,,392313,ENSG00000228307
SPON1,spondin 1,AB018305,Q9HCB6,10418,ENSG00000262655
YAR023C,,,,,
RP11-334G22.1,,,,,
RNH203,,,,,
PIRC14,piwi-interacting RNA cluster 14,,,100313784,
TUBA1C,tubulin alpha 1c,BC004949,Q9BQE3,84790,
RNU6-155P,"RNA, U6 small nuclear 155, pseudogene",,,106481224,ENSG00000252156
yfaE,,,,,
RP11-24C14.1,,,,,
hsa-mir-150,,,,,
NMTRQ-TTG12-1,nuclear-encoded mitochondrial tRNA-Gln (TTG) 12-1,HG984158,,100189478,ENSG00000242752
ANP32B,acidic nuclear phosphoprotein 32 family member B,Y07969,Q92688,10541,ENSG00000136938
SOGA3,SOGA family member 3,AK096490,Q5TF21,387104,ENSG00000214338
DCBLD2,"discoidin, CUB and LCCL domain containing 2",,Q96PD2,131566,ENSG00000057019
RP11-162A12.2,,,,,
SIP18,,,,,
DNAJB8,DnaJ heat shock protein family (Hsp40) member B8,,Q8NHS0,165721,ENSG00000179407
RP11-82O2.2,,,,,
DUSP26,dual specificity phosphatase 26,AY902194,Q9BV47,78986,ENSG00000133878
RP11-1094M14.5,,,,,
H3F3AP5,"H3 histone, family 3A, pseudogene 5",,,347376,ENSG00000226881
MRGPRG,MAS related GPR family member G,AY255583,Q86SM5,386746,ENSG00000182170
YCG1,,,,,
SNRPD2,small nuclear ribonucleoprotein D2 polypeptide,,P62316,6633,ENSG00000125743
PRMT1,protein arginine methyltransferase 1,D66904,Q99873,3276,ENSG00000126457
GHRLOS,ghrelin opposite strand/antisense RNA,EF549568,,100126793,ENSG00000240288
MIR100HG,mir-100-let-7a-2-mir-125b-1 cluster host gene,AK091713,,399959,ENSG00000255248
TRG-CCC1-1,tRNA-Gly (CCC) 1-1,HG983796,,,
C21orf62,chromosome 21 open reading frame 62,AF231922,Q9NYP8,56245,ENSG00000205929
CCDC120,coiled-coil domain containing 120,BC008769,Q96HB5,90060,ENSG00000147144
BX255923.3,,,,,
pmr1,,,,,
pha-4,,,,,
OPN1MW3,"opsin 1, medium wave sensitive 3",,P0DN78,101060233,ENSG00000269433
CUX1,cut like homeobox 1,M74099,"P39880, Q13948",1523,ENSG00000257923
MEG3,maternally expressed 3,AB032607,,55384,ENSG00000214548
RP11-899L11.3,,,,,
MIR6794,microRNA 6794,,,102466196,
SAPCD2,suppressor APC domain containing 2,BC024299,Q86UD0,89958,ENSG00000186193
MGAT2,"mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",U15128,Q10469,4247,ENSG00000168282
AC007238.1,,,,,
D2HGDH,D-2-hydroxyglutarate dehydrogenase,AK091725,Q8N465,728294,ENSG00000180902
ACF2,,,,,
ZNF280B,zinc finger protein 280B,AK097608,Q86YH2,140883,ENSG00000275004
Y_RNA.264,,,,,
snoU13.213,,,,,
RP11-573M3.3,,,,,
CCDC189,coiled-coil domain containing 189,BC042548,A1A4V9,90835,ENSG00000196118
ELMO3,engulfment and cell motility 3,,Q96BJ8,79767,ENSG00000102890
Y_RNA.220,,,,,
SDAD1P2,SDA1 domain containing 1 pseudogene 2,,,400836,ENSG00000230750
MOT2,,,,,
CTD-2060F24.1,,,,,
RP11-327L3.3,,,,,
PSD2,pleckstrin and Sec7 domain containing 2,AL136559,Q9BQI7,84249,ENSG00000146005
MIR3125,microRNA 3125,,,100422986,
NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1,,P28331,4719,ENSG00000023228
KIF9-AS1,KIF9 antisense RNA 1,,,285352,ENSG00000227398
GTF2H5,general transcription factor IIH subunit 5,AK055106,Q6ZYL4,404672,ENSG00000272047
SNORA57.1,,,,,
AC009963.6,,,,,
MIR6789,microRNA 6789,,,102466736,
SPO11,SPO11 initiator of meiotic double stranded breaks,AF169385,Q9Y5K1,23626,ENSG00000054796
RP5-857K21.15,,,,,
hemE,,,,,
DFNB13,"deafness, autosomal recessive 13",,,,
AC067956.1,,,,,
RP11-181C3.1,,,,,
RP11-197K6.1,,,,,
NLRP5,NLR family pyrin domain containing 5,AY154460,P59047,126206,ENSG00000171487
AGPS,alkylglycerone phosphate synthase,Y09443,O00116,8540,ENSG00000018510
MARK2P17,microtubule affinity regulating kinase 2 pseudogene 17,,,100421499,ENSG00000244065
RNU6-780P,"RNA, U6 small nuclear 780, pseudogene",,,106481427,ENSG00000212332
yghY,,,,,
ALDH1L1,aldehyde dehydrogenase 1 family member L1,AF052732,O75891,10840,ENSG00000144908
HRH1,histamine receptor H1,,P35367,3269,ENSG00000196639
RP11-447H19.2,,,,,
IGKV3D-15,immunoglobulin kappa variable 3D-15 (gene/pseudogene),X72815,A0A087WSY6,28875,ENSG00000224041
MTND6P18,MT-ND6 pseudogene 18,,,106478951,ENSG00000227714
AL035697.1,,,,,
U82670.4,,,,,
AC007318.5,,,,,
citF,,,,,
HLA-S,"major histocompatibility complex, class I, S (pseudogene)",M96339,,267015,ENSG00000225851
NDUFB3P3,NADH:ubiquinone oxidoreductase subunit B3 pseudogene 3,,,93996,
AC098789.1,,,,,
RFPL3S,RFPL3 antisense,AJ010233,P0C7P2,10737,ENSG00000205853
CA6,carbonic anhydrase 6,M57892,P23280,765,ENSG00000131686
YJL068C,,,,,
APL1,,,,,
PUS7,pseudouridine synthase 7,AK128629,Q96PZ0,54517,ENSG00000091127
MYH15,myosin heavy chain 15,AB023217,Q9Y2K3,22989,ENSG00000144821
CHIAP2,"chitinase, acidic pseudogene 2",,,149620,ENSG00000203878
MIR1253,microRNA 1253,,,100302208,ENSG00000221200
NUP210P2,nucleoporin 210 pseudogene 2,,,100129929,ENSG00000225275
RP11-370P15.1,,,,,
HOXB9,homeobox B9,,P17482,3219,ENSG00000170689
L2HGDH,L-2-hydroxyglutarate dehydrogenase,,Q9H9P8,79944,ENSG00000087299
LOC100379224,,,,,
SNT309,,,,,
cspH,,,,,
MIR5190,microRNA 5190,,,100847080,
HSDL1,hydroxysteroid dehydrogenase like 1,AF237684,Q3SXM5,83693,ENSG00000103160
FBN3,fibrillin 3,,Q75N90,84467,ENSG00000142449
SNORA69.1,,,,,
POTEM,POTE ankyrin domain family member M,,A6NI47,641455,ENSG00000222036
SCML4,Scm polycomb group protein like 4,,Q8N228,256380,ENSG00000146285
ntr2,,,,,
RP11-183E24.2,,,,,
MIR625,microRNA 625,,,693210,ENSG00000207781
LINC02673,long intergenic non-protein coding RNA 2673,,,101929180,ENSG00000260151
MMVP1,myxomatous mitral valve prolapse 1,,,50951,
SMIM34A,small integral membrane protein 34A,,A8MWV9,388820,ENSG00000243627
AC078819.1,,,,,
RPL26P26,ribosomal protein L26 pseudogene 26,,,100270967,ENSG00000242595
NDUFS6,NADH:ubiquinone oxidoreductase subunit S6,BC038664,O75380,4726,ENSG00000145494
TRBV4-1,T cell receptor beta variable 4-1,U07977,A0A577,28617,ENSG00000211710
CCT4P2,chaperonin containing TCP1 subunit 4 pseudogene 2,,,100131638,ENSG00000225569
VN2R17P,"vomeronasal 2 receptor 17, pseudogene",,,649186,ENSG00000213014
RP11-1079J22.1,,,,,
SPAC3G6.05,,,,,
pep7,,,,,
RP11-270L13.1,,,,,
CTD-2199O4.6,,,,,
trpC,,,,,
LAMTOR3,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3",AF201947,Q9UHA4,8649,ENSG00000109270
AC100830.4,,,,,
RN7SL410P,,,,,
SIAH2-AS1,SIAH2 antisense RNA 1,,,,ENSG00000244265
FLJ37201,,,,,
STE50,,,,,
TEX1,,,,,
aph1,,,,,
MTND1P8,MT-ND1 pseudogene 8,,,100287461,ENSG00000263177
AC006987.6,,,,,
RP11-418J17.3,,,,,
SDC4P,syndecan 4 pseudogene,AF520746,,376844,ENSG00000214161
PPIAP74,peptidylprolyl isomerase A pseudogene 74,,,131055,ENSG00000220343
CNTNAP3P7,CNTNAP3 pseudogene 7,,,100420777,
LL09NC01-254D11.1,,,,,
ACPP,"acid phosphatase, prostate",,P15309,55,ENSG00000014257
AC016582.2,,,,,
KLC2,kinesin light chain 2,AK022449,Q9H0B6,64837,ENSG00000174996
MTND4P22,MT-ND4 pseudogene 22,,,100873244,ENSG00000232772
COA4,cytochrome c oxidase assembly factor 4 homolog,AF242180,Q9NYJ1,51287,ENSG00000181924
ybjX,,,,,
RP3-449H6.1,,,,,
sfmD,,,,,
LINC01197,long intergenic non-protein coding RNA 1197,BC040875,,400456,ENSG00000248441
AF127936.3,,,,,
RPS4XP22,ribosomal protein S4X pseudogene 22,,,100131614,ENSG00000239830
PDIA2,protein disulfide isomerase family A member 2,U19948,Q13087,64714,ENSG00000185615
RP5-945F2.2,,,,,
AC009245.3,,,,,
CYLC1,cylicin 1,Z22780,P35663,1538,ENSG00000183035
RP11-10L12.2,,,,,
AC090953.1,,,,,
LINC00336,long intergenic non-protein coding RNA 336,AK125740,Q6ZUF6,401253,ENSG00000197251
ADORA2A,adenosine A2a receptor,X68486,P29274,135,ENSG00000128271
cspB,,,,,
ampE,,,,,
AC113342.1,,,,,
MEU1,,,,,
yfjX,,,,,
LOC147791,,,,,
RPL29P18,ribosomal protein L29 pseudogene 18,,,644103,
NAP1L6,nucleosome assembly protein 1 like 6,AK090915,A6NFF2,645996,ENSG00000204118
SRO9,,,,,
TRGC2,T cell receptor gamma constant 2,M15002,P03986,6967,ENSG00000227191
DNAAF2,dynein axonemal assembly factor 2,AK001425,Q9NVR5,,ENSG00000165506
AC104012.1,,,,,
HSFY4P,"heat shock transcription factor Y-linked 4, pseudogene",,,643987,ENSG00000224482
RNA5SP375,"RNA, 5S ribosomal pseudogene 375",,,100873633,ENSG00000199845
RN7SL31P,,,,,
SYS1-DBNDD2,SYS1-DBNDD2 readthrough (NMD candidate),BC023562,,767557,ENSG00000254806
MRPS36,mitochondrial ribosomal protein S36,,P82909,92259,ENSG00000134056
IGHV1-14,immunoglobulin heavy variable 1-14 (pseudogene),M99639,,28470,ENSG00000253709
PPIAP45,peptidylprolyl isomerase A pseudogene 45,,,100506099,ENSG00000258116
OR6C73P,olfactory receptor family 6 subfamily C member 73 pseudogene,,,403289,ENSG00000257414
RN7SL399P,"RNA, 7SL, cytoplasmic 399, pseudogene",,,106479370,ENSG00000239542
RP11-146E13.3,,,,,
RP11-626A5.2,,,,,
LINC01224,long intergenic non-protein coding RNA 1224,,,104472717,ENSG00000269416
YNL033W,,,,,
IPI3,,,,,
RP11-557H15.4,,,,,
RP11-393N21.1,,,,,
CTD-3187F8.7,,,,,
RNA5SP531,"RNA, 5S ribosomal pseudogene 531",,,111644137,ENSG00000277418
CCDC177.1,,,,,
MAPK1,mitogen-activated protein kinase 1,M84489,P28482,5594,ENSG00000100030
kin-30,,,,,
CABP4,calcium binding protein 4,AC005849,P57796,57010,ENSG00000175544
CHRNE,cholinergic receptor nicotinic epsilon subunit,X66403,Q04844,1145,ENSG00000108556
ROCK2,Rho associated coiled-coil containing protein kinase 2,D87931,O75116,9475,ENSG00000134318
ZRANB2,zinc finger RANBP2-type containing 2,AF065391,O95218,9406,ENSG00000132485
KCNMB4,potassium calcium-activated channel subfamily M regulatory beta subunit 4,AF207992,Q86W47,27345,ENSG00000135643
PLEKHG2,pleckstrin homology and RhoGEF domain containing G2,AK024429,Q9H7P9,64857,ENSG00000090924
LINC01397,long intergenic non-protein coding RNA 1397,DA779101,,,ENSG00000258673
LOC100133920,,,,,
CRAMP1L,,,,,
SLC6A11,solute carrier family 6 member 11,S75989,P48066,6538,ENSG00000132164
RNU6-461P,"RNA, U6 small nuclear 461, pseudogene",,,106481897,ENSG00000201065
snoU13.224,,,,,
RP3-407E4.2,,,,,
GLMN,"glomulin, FKBP associated protein",U73704,Q92990,11146,ENSG00000174842
AP001462.6,,,,,
RP11-435B5.1,,,,,
RPL34P12,ribosomal protein L34 pseudogene 12,,,100270996,
ETV5-AS1,ETV5 antisense RNA 1,,,,ENSG00000234197
INSYN1-AS1,INSYN1 antisense RNA 1,,,101929221,ENSG00000260469
PRKCSH,protein kinase C substrate 80K-H,,P14314,5589,ENSG00000130175
TRL-AAG2-4,tRNA-Leu (AAG) 2-4,HG983872,,100189291,
TFAP2E,transcription factor AP-2 epsilon,BC041175,Q6VUC0,339488,ENSG00000116819
TPTEP1,TPTE pseudogene 1,,,387590,ENSG00000100181
LOC101929876,,,,,
DNMT3A,DNA methyltransferase 3 alpha,,Q9Y6K1,1788,ENSG00000119772
yaiI,,,,,
CBLC,Cbl proto-oncogene C,AB028645,Q9ULV8,23624,ENSG00000142273
DUOX2,dual oxidase 2,AF181972,Q9NRD8,50506,ENSG00000140279
snoU13.249,,,,,
yagQ,,,,,
yeiB,,,,,
SCARNA16,small Cajal body-specific RNA 16,AJ609486,,677781,ENSG00000275143
AC079949.1,,,,,
RP11-487E13.1,,,,,
RP11-119H12.1,,,,,
ATP25,,,,,
RP11-543H12.1,,,,,
MIR612,microRNA 612,,,693197,ENSG00000283791
TOX2,TOX high mobility group box family member 2,BC007636,Q96NM4,84969,ENSG00000124191
LINC01068,long intergenic non-protein coding RNA 1068,AI138787,,,ENSG00000227676
RPL43A,,,,,
YDR115W,,,,,
RP11-473E2.2,,,,,
RN7SKP231,"RNA, 7SK small nuclear pseudogene 231",,,106479198,ENSG00000200151
CXCL5,C-X-C motif chemokine ligand 5,X78686,P42830,6374,ENSG00000163735
RIPK3,receptor interacting serine/threonine kinase 3,AF156884,Q9Y572,11035,ENSG00000129465
MIR1234,microRNA 1234,,,100302196,
CCDC181,coiled-coil domain containing 181,AL049687,Q5TID7,57821,ENSG00000117477
RPL39P17,ribosomal protein L39 pseudogene 17,,,100271024,
RN7SL45P,"RNA, 7SL, cytoplasmic 45, pseudogene",,,106481975,ENSG00000264862
ZNF66,zinc finger protein 66,M88375,Q6ZN08,7617,ENSG00000160229
AC114730.7,,,,,
TYR,tyrosinase,M27160,P14679,7299,ENSG00000077498
NBPF10,NBPF member 10,BC021111,Q6P3W6,100132406,ENSG00000271425
PRPH2,peripherin 2,,P23942,5961,ENSG00000112619
AC012066.1,,,,,
CTD-2161F6.2,,,,,
RNU1-63P,"RNA, U1 small nuclear 63, pseudogene",,,106480664,ENSG00000206629
DEK,DEK proto-oncogene,X64229,P35659,7913,ENSG00000124795
HSBP1,heat shock factor binding protein 1,AF068754,O75506,3281,
RNU6-553P,"RNA, U6 small nuclear 553, pseudogene",,,106480589,ENSG00000200917
TEX36-AS1,TEX36 antisense RNA 1,,,100169752,ENSG00000237675
RP5-905G11.3,,,,,
AC109583.1,,,,,
RP5-1136G2.1,,,,,
otsB,,,,,
RP11-122M14.3,,,,,
LRRC61,leucine rich repeat containing 61,BC001354,Q9BV99,65999,ENSG00000127399
pfd1,,,,,
RP11-157E21.2,,,,,
allR,,,,,
AC091177.1,,,,,
RNU6-682P,"RNA, U6 small nuclear 682, pseudogene",,,106479867,ENSG00000200713
fucU,,,,,
HIDE1,,,,,
RP11-535N6.2,,,,,
OR7E25P,olfactory receptor family 7 subfamily E member 25 pseudogene,,,26647,ENSG00000187847
CEP192,centrosomal protein 192,AK074074,Q8TEP8,55125,
RIOK3,RIO kinase 3,AF013591,O14730,8780,ENSG00000101782
PRP45,,,,,
MIR484,microRNA 484,,,619553,ENSG00000283736
FASN,fatty acid synthase,U26644,P49327,2194,ENSG00000169710
RP11-269M20.3,,,,,
RP11-312B8.2,,,,,
RN7SL357P,"RNA, 7SL, cytoplasmic 357, pseudogene",,,106481021,ENSG00000265894
FARSA-AS1,FARSA antisense RNA 1,AW881480,,,ENSG00000266975
VBA5,,,,,
LINC01977,long intergenic non-protein coding RNA 1977,,,105371919,ENSG00000262772
SSTR3,somatostatin receptor 3,,P32745,,ENSG00000278195
MIR3670-3,microRNA 3670-3,,,103504726,
RP11-787B4.2,,,,,
RP11-324H7.1,,,,,
NUTM2B,NUT family member 2B,,A6NNL0,729262,ENSG00000188199
snoU13.303,,,,,
RP11-467I20.6,,,,,
dhp1,,,,,
SLC2A9,solute carrier family 2 member 9,AF210317,Q9NRM0,56606,ENSG00000109667
RPL21P96,ribosomal protein L21 pseudogene 96,,,100271428,
RP4-616B8.4,,,,,
SPAC922.06,,,,,
PIRC103,piwi-interacting RNA cluster 103,,,100313901,
Y_RNA.602,,,,,
CYREN,cell cycle regulator of NHEJ,BC000168,Q9BWK5,78996,ENSG00000122783
RP5-933K21.3,,,,,
U6,,,,,
MIR491,microRNA 491,,,574444,ENSG00000207609
AC002511.2,,,,,
ANAPC4,anaphase promoting complex subunit 4,AF191338,Q9UJX5,29945,ENSG00000053900
Taf9,,,,,
NAT16,N-acetyltransferase 16 (putative),AK096556,Q8N8M0,375607,ENSG00000167011
ITGA9,integrin subunit alpha 9,L24158,Q13797,3680,ENSG00000144668
RN7SL396P,"RNA, 7SL, cytoplasmic 396, pseudogene",,,106479368,ENSG00000244642
SERF2,small EDRK-rich factor 2,AF073298,P84101,10169,ENSG00000140264
ZBTB7C,zinc finger and BTB domain containing 7C,Y14591,A1YPR0,201501,ENSG00000184828
RN7SL144P,"RNA, 7SL, cytoplasmic 144, pseudogene",,,106480960,ENSG00000242559
AC010329.1,,,,,
STX6,syntaxin 6,AJ002078,O43752,10228,ENSG00000135823
CCNI,cyclin I,D50310,Q14094,10983,ENSG00000118816
SNORA8.1,,,,,
LYST-AS1,LYST antisense RNA 1,,,,ENSG00000229463
yjiG,,,,,
PPAN-P2RY11,PPAN-P2RY11 readthrough,AJ300588,,692312,ENSG00000243207
TRBV28,T cell receptor beta variable 28,U08314,A0A5B6,28559,ENSG00000211753
KB-67B5.17,,,,,
PARK10,Parkinson disease 10 (susceptibility),,,170534,
ST7-AS2,ST7 antisense RNA 2,AF400043,,93654,ENSG00000226367
MIR1470,microRNA 1470,,,100302127,ENSG00000269782
etf1,,,,,
RP11-363I22.3,,,,,
RP11-334J6.6,,,,,
RP11-120A1.1,,,,,
YIR007W,,,,,
CTD-2200P10.3,,,,,
minE,,,,,
stn1,,,,,
IGHD2-2,immunoglobulin heavy diversity 2-2,J00232,,28505,ENSG00000211931
FRA5B,"fragile site, BrdU type, common, fra(5)(q15)",,,2394,
RP4-736L20.3,,,,,
FBLN5,fibulin 5,AJ133490,Q9UBX5,10516,ENSG00000140092
NPAS1,neuronal PAS domain protein 1,U77968,Q99742,4861,ENSG00000130751
RP11-545I5.3,,,,,
FKBP5,FKBP prolyl isomerase 5,U42031,Q13451,2289,ENSG00000096060
RP11-394I13.2,,,,,
yeaC,,,,,
OR8G1,olfactory receptor family 8 subfamily G member 1 (gene/pseudogene),AB065946,Q15617,26494,ENSG00000197849
RACGAP1,Rac GTPase activating protein 1,,Q9H0H5,29127,ENSG00000161800
CTD-2574D22.4,,,,,
OR5T1,olfactory receptor family 5 subfamily T member 1,AB065962,Q8NG75,390155,ENSG00000181698
MIR3615.1,,,,,
RP11-71H17.7,,,,,
egas-3,,,,,
TAD3,,,,,
ygiW,,,,,
RP11-444E17.6,,,,,
yiiQ,,,,,
IFNB1,interferon beta 1,,P01574,3456,ENSG00000171855
RP11-389C8.2,,,,,
RNU6-484P,"RNA, U6 small nuclear 484, pseudogene",,,106479781,ENSG00000206743
TRIM62,tripartite motif containing 62,BC007999,Q9BVG3,55223,ENSG00000116525
ACTBL2,actin beta like 2,,Q562R1,345651,ENSG00000169067
CENPM,centromere protein M,BC000705,Q9NSP4,79019,ENSG00000100162
CTD-2626G11.2,,,,,
GET2,,,,,
IDI2-AS1,IDI2 antisense RNA 1,AF220183,Q9NZ38,55853,ENSG00000232656
CDKN2AIP,CDKN2A interacting protein,AK000043,Q9NXV6,55602,ENSG00000168564
NEURL4,neuralized E3 ubiquitin protein ligase 4,,Q96JN8,84461,ENSG00000215041
RAX2,retina and anterior neural fold homeobox 2,AY211277,Q96IS3,84839,
ERR1,,,,,
TRMT2B-AS1,TRMT2B antisense RNA 1,,,,ENSG00000225839
Z69890.1,,,,,
RP11-20D14.4,,,,,
LINC02506,long intergenic non-protein coding RNA 2506,,,102723828,ENSG00000251129
RP11-432M8.18,,,,,
RPS12P12,ribosomal protein S12 pseudogene 12,,,100131761,
SKA1,spindle and kinetochore associated complex subunit 1,BC015706,Q96BD8,220134,ENSG00000154839
tolB,,,,,
TTC39C-AS1,TTC39C antisense RNA 1,"DB448536, DB513641, BX102499",,102724246,ENSG00000264745
RP11-64C12.4,,,,,
BOD1P1,biorientation of chromosomes in cell division 1 pseudogene 1,,,100129468,ENSG00000263460
CMTM2,CKLF like MARVEL transmembrane domain containing 2,BC025354,Q8TAZ6,146225,ENSG00000140932
LINC01790,long intergenic non-protein coding RNA 1790,,,101927431,ENSG00000230173
RP11-292B8.2,,,,,
RIMBP3C,RIMS binding protein 3C,,A6NJZ7,150221,ENSG00000183246
RPS2P55,ribosomal protein S2 pseudogene 55,,,286444,ENSG00000216866
TGFB2-AS1,TGFB2 antisense RNA 1 (head to head),BX099841,,728463,ENSG00000232480
RP11-271K11.1,,,,,
AL589986.2,,,,,
RP11-457I16.2,,,,,
FAM71D,family with sequence similarity 71 member D,,Q8N9W8,161142,
GSPT1,G1 to S phase transition 1,BC008391,P15170,2935,ENSG00000103342
MAPRE2,microtubule associated protein RP/EB family member 2,X94232,Q15555,10982,ENSG00000166974
RPL26P36,ribosomal protein L26 pseudogene 36,,,392501,
ACSL6,acyl-CoA synthetase long chain family member 6,AB020644,Q9UKU0,23305,ENSG00000164398
PKIB,cAMP-dependent protein kinase inhibitor beta,,Q9C010,5570,ENSG00000135549
AC068831.15,,,,,
RP11-110G21.1,,,,,
RP11-612A1.1,,,,,
VMA2,,,,,
PSMD9,"proteasome 26S subunit, non-ATPase 9",AB003177,O00233,5715,ENSG00000110801
MT-TS2,mitochondrially encoded tRNA-Ser (AGU/C) 2,,,4575,ENSG00000210184
MTCO3P9,MT-CO3 pseudogene 9,,,,ENSG00000249698
AF228730.13,,,,,
RP11-272J7.4,,,,,
PIRC1,piwi-interacting RNA cluster 1,,,100313844,
HHIPL2,HHIP like 2,BC007638,Q6UWX4,79802,ENSG00000143512
MRX27,"mental retardation, X-linked 27",,,,
RP11-552J9.15,,,,,
MIR585,microRNA 585,,,693170,ENSG00000207619
ZNF878,zinc finger protein 878,,C9JN71,729747,ENSG00000257446
RP11-367N14.2,,,,,
FOXS1,forkhead box S1,AF042831,O43638,2307,ENSG00000179772
MIR9898,microRNA 9898,,,,
